Comment
"The vibe and the emotion in this song brings back good vibes to me solely from my childhood in a good positive still time I just wish I could go back to again.<br><br><br><br><br><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>"
I get even if the song came from an anime show and all but I just think this song with the Band alone is magnificent.
i am balling i am faded
I LOVE LAIN
"I really like the way she dances; she&#39;s so cool, and her voice is phenomenally comforting 😻"
قد تَخْدِشُ الرُوحَ أحزانٌ فتبكيها فتبحثُ الرُّوحُ عن رُوحٍ تُسَلّيها داويتُ بالأمسِ أرواحًا مُجَرّحةً واليومَ تُجْرَحُ رُوحي مَنْ يُدَاويها؟<br><br>Translate Tweet
"This feels like very personal pocket events in my life from 1997 to 2017, and I can&#39;t explain why."
I am balling. I am faded.
This song makes me feel nostalgic for something I never even remember or experienced
i am ballin&#39; i am faded
"I am balling,i am faded"
I AM BALLIN
This is soooo artistic it transcends spacetime
Gracias por crear está maravillosa canción.
I love this song sm 😞💗
I am balling I am faded
"<a href=""https://www.youtube.com/watch?v=Uoox9fpmDP0&amp;t=1m56s"">1:56</a>"
This almost makes me cry both happy and sad tears. Feels like a summer evening
"Super 90s sounds, like The Cranberries"
Que música tão boa❤
This is what the gates of heaven sound like
"I’m a metalhead, but I’ll give credit where it’s due, this song slaps so hard."
Esa no pq mmeo😿
Idk what is it but this song is soo…whimsigoth 😩😮‍💨✨🌾💐🌙💫🌜🌞🌝🥀🖤
I wanna ask life when did i hear this song
Present day present time
"Present Day, present time"
POV: You came here because of the theme song of Serial Experiments Lain.
Princess Daisy when she goes &amp; finally gets her own movie + moisturizer:
Kino
"<a href=""https://www.youtube.com/watch?v=Uoox9fpmDP0&amp;t=2m05s"">2:05</a> let her coooook"
"I don&#39;t even know what anime this song belongs to. But oh God, this really puts me in a nostalgia. This song literally smells my childhood."
I love it! Sounds like old Grey Daze with Chester Bennington ❤
It’d be so cool if an animation team would use this song as an opening for an anime by the name of serial experiments lain
What a type music and song like this. I feel like a live again :)
"i cant be mad that tiktok made this song and lain more popular than it ever was. it was bound to happen, both are incredible works of art."
My mood changes when i hear this song
She do be ballin<br>She do be faded 😔
As in Bôa of my childhood?! 😍
música bela ❤️
God damn it Lain just turn off the computer girl.
"If this song is a film genre, it would be psychological thriller."
"I am ballin, I am faded..."
Makes me want to move into an old apartment in my first neighborhood
"Esta canción es un sentimiento que es inexplicable, y sí, conocí a bôa por &quot;lain serial experiments&quot; y no me apena en nada decirlo, mas bien, me enorgullece poder escuchar esta agrupación, esta canción en especial me da un sentimiento de un recuerdo de  comodidad, es como un viento que pasa por mi cuerpo, y me diera un escalofrío cuando eso sucediera, es como un amanecer nublado, pero con una calida luz del sol que te abraza pero no te puede tocar, una seguridad que crees que viene de afuera, pero realmente viene de adentro, de ti mismo, y no puede faltar afirmar que la voz de la vocalista es preciosa y la que ademas de la instrumental es lo que le da esa pizca de &quot;algo que vivimos pero no recordamos claramente&quot; <br>Puede que lo que diga se puede sacar de contexto, pero no importa porque no lo digo con un fin malo, ni tampoco porque me sienta sola, solo, es como si su voz fuera la de una madre..."
Lain brought me here.<br>Such a great song.<br>Perfect melody.
Live. Laugh. Love. Lain.
I wanna remember where I heard this song that reminds me of 1996 🤔 ❤
"Hello, it&#39;s the 90&#39;s"
The cinematography in this video reminds me so much of skins. Kinda makes me sad.
certified hood classic
OH MY GOD
I AM BALLIN&#39;
te quiero Yung Beef
Im on drugs when I listen to this
Serial Experiments Lain<br><br>:)
Imma sniff yo crack
This song smell real good
Essa eu amo muito ❤ 2023/04/17
Still one the best songs ever made
Is This From a Anime?
